ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YCR040W	ALPHA1 TRANSCRIPTION       ALPHA-SPECIFIC GENE ACTIVATOR	-0.29	0.31	-0.2	-0.04	-0.38	0.11	-0.2	-0.4	-0.12	0.42	-0.29	0.18	-0.04	-0.29	-0.67	0.23	-0.01	0.16	-0.15	-0.22	0.1	0.1	-0.17	-0.36	0.08	-0.42	-0.15	-0.58	-0.29	-0.54	-0.51	-0.23	-0.17	-0.56	-1.15	-0.32	0.39	0.7	0.25	-0.3	-0.69	-0.32	0.4	0.31	0.62	0.34	0.36	-0.1	-0.51	-0.42	0.11	0.28	0.31	-0.74	0.95	-0.58	0.84	1.7	-0.34	-0.47	-0.15	-0.23	-0.32	-0.14	-0.07	-0.71	-0.4	-0.3	-0.54	-0.09	0.04	-0.06	-0.69	0.66	-0.22	-0.62	-0.74	0.2	0.04
YHR047C	AAP1   PROTEIN DEGRADATION    ARGININE/ALANINE AMINOPEPTIDASE	-0.29	-0.07	-0.34	-0.34	-0.36	-0.43	-0.4	-0.25	-0.06	-0.23	0.31	-0.03	-0.15	-0.27	-0.14	0.08	-0.58	-0.12	-0.4	-0.06	-0.25	-0.04	-0.27	-0.27	-0.06	0.21	0.24	0.53	0.03	0.41	0.36	0.06	-0.51	-0.62	-0.81	-0.47	-0.43	0.03	0.08	-0.03	0.19	-0.4	-0.32	-0.06	0.07	-0.22	-0.14	-0.2	-0.54		-0.04	-0.07		-0.43	-0.42	0.98	0.55	1.26	-0.27	-0.06	-0.49	-0.18	-0.1	-0.43	-0.92	-0.43	-0.23	-0.4	-0.01	-0.47	-0.76	-1.03	-0.04	0.03	-0.29	-0.43	-0.42	-0.64	-0.67
YMR055C	"BUB2   CELL CYCLE, CHECKPOINT   UNKNOWN"	-0.34	0.88	-0.42	-0.97	-0.15	-0.29	0.23	-0.3	-0.3	-0.22	-0.36	-0.38	-0.18	-0.29	-0.36	-0.23	-0.2	-0.14	-0.27	-0.42	-0.56	-0.67	-0.38	-0.45	-0.23	0.06	0.11	0.06	-0.15	-0.06	-0.09	-0.07	-0.49	-0.56	-0.06	0.23	0.18	-0.22	-0.22	0.03	-0.2	0.11		-1.22	-0.51	-0.49	-0.47	-0.29	-0.4	-0.12	0.7	0.24	0.55	-0.06	-0.09	0.07	0.31	0.58	-0.04	-0.18	-0.25	0.54	0.11	-0.81		-0.47	-0.49	-0.54	-0.15	0.1	-0.67	-0.27	-0.43	-0.38	0.16	-0.09	-0.2	-0.07	-0.71
YDR457W	"TOM1   CELL CYCLE, G2/M    UNKNOWN"	0.01	-0.69	-0.09	-0.09	0.25	0.21	-0.18	-0.4	-0.07	-0.09	0.52	0.07	-0.25	-0.3	0.25	0.14	0.14	0.29	-0.23	-0.58	-0.45	-0.22	-0.76	-0.97	-0.94	-0.54	-0.42	-0.27		-0.14	-0.2	-0.3	-0.17	0.06	-0.22	-0.2	-0.17	0.11	0.12	-0.38	-0.09	-0.4	-0.47	-0.03	-0.29	0.11	-0.47	-0.06	-0.01	-0.01	0.08	0.15	0.41	-0.07	0.01	0.01	0.14	0.29	-0.32	-0.07	-0.45	-0.22	0.06	-0.15	-0.22	-0.56	-0.64	-0.29	0.12	-0.23	-0.15	-0.17	0.04	0.04	0.11	-0.1	-0.23	-0.04	0.14
YDR311W	TFB1   TRANSCRIPTION       TFIIH 75 KD SUBUNIT	0.14	-0.23	-0.04	-0.07	0.28	-0.23	-0.32	-0.27	0.21	-0.14	1.46	-0.2	0.1	-0.1	0.2	0.31	-0.29	0.29	0.37	-0.45	0.34	0.34	-0.07	-0.22	-0.27	0.04	-0.29	-0.18	-0.4	-0.23	-0.03	-0.07	-0.32	0.28	0.1	-0.3	-0.18	-0.04	-0.1	0.48	-0.22	-0.49	-0.25	0.32	-0.2	-0.38	-0.45	-0.2	-0.18	0.03	0.3	0.43	0.62	-0.64	0.23	0.39	-0.01	1.06	-0.12	-0.07	-0.06	0.24	-0.22	-0.4	-0.45	-0.17	-0.06	-0.15	-0.17	0.7	0.04	0.25		0.07	0.54	0.16	-0.32	0.15	0.26
YGR274C	TAF145 TRANSCRIPTION       TFIID 145 KD SUBUNIT	0.06		0.26	0.1	0.12	0.06	-0.03	0.19	0.23	-0.03	0.59	0.11	0.12	0.01	0.23	0.43	-0.25	-0.06	-0.03		0.01	0.15	-0.06	0.14	0.16	-0.06	-0.04	-0.01	-0.18	0.12	0.15	-0.09	-0.01	0.32	0.29	-0.14	-0.47	-0.06	-0.04		0.24	-0.22	-0.2	0.61	0.07	-0.18	-0.36	-0.22	-0.29	-0.06	0.14	0.25	0.44	-0.38	0.4	0.4	0.23	0.33	0.03	-0.03	-0.4	0.28	-0.15	0.25	-0.32	-0.03	-0.23	-0.51	-0.09	0.07	-0.2	-0.06	0.06	-0.01	-0.07	-0.14	-0.29	0.11	-0.1
YHR178W	STB5   TRANSCRIPTION       UNKNOWN; BINDS SIN3P	-0.54	0.36	-0.22	-0.42	0.08	-0.12	0.15	-0.17	0.2	-0.27	-0.43	-0.22	-0.1	-0.29	0.01	-0.14	-0.04	-0.27	-0.06	-0.49	-0.04	-0.34	-0.47	-0.76	-0.36	-0.23	0.18	-0.2	-0.56	0.33	0.16	-0.12	-0.2	-0.15	-0.12	1.24	-1.12	-0.14	-0.22	0.89	0.45	-0.29	-0.2		-1.74	0.29	-0.54	-0.71	0.41	-0.18	0.75	0.65	0.58	0.18	0.03	0.91	0.99	0.53	-0.17	0.86	0.03	0.25	0.36	-0.17	-0.38	-0.43	-0.64	-0.54	-0.15	0.26	-0.34	0.55	0.1	-0.18	0.08	-0.1		0.29	
YPR113W	PIS1   PHOSPHOLIPID METABOLISM  PHOSPHATIDYLINOSITOL SYNTHASE	-0.27	-0.23	-0.62	-0.54	-0.64	-0.45	0.16	-0.17	0.03	-0.42	-0.34	-0.67	-0.29	-0.81	-0.27	-0.71	-0.36	-0.36	-0.27	-0.15	-0.29	-0.23	-0.04	0.28	0.41	0.28	-0.2	0.03	0.32	0.24	-0.42	0.08	-0.36	-0.51	-0.64	0.15	0.41	0.29	0.18	0.21	0.01	0.26	0.42	-0.81	-0.12	-0.27	-0.15	-0.4	0.03	-0.04	0.58	0.36	0.74	-0.1	0.03	-0.12	-0.18	-0.74	0.07	-0.2	-0.36	-0.4	0.14	0.01	-0.06	-0.2	-0.25	-0.3	0.01	-0.04	-0.25	-0.34	-0.04		0.61	0.51	0.56	1.11	-1.03
YJL210W	PEX2   PEROXISOME BIOGENESIS    INTEGRAL MEMBRANE PROTEIN	-0.43	-0.42	-0.69	-0.4	-0.62	-0.3	-0.38	-0.74	-0.27	0.1	-0.32	-0.43	0.03	-0.79	-0.79	-0.51	-0.74	-0.38	-0.2	0.06	-0.12	-0.38	-0.1	-0.51	-0.03	0.31	0.18	0.2	-0.12	0.26	0.11	0.42	-0.3	-0.69	-0.22	-0.09	-0.89	-0.06	0.37	0.26	0.82	-0.17	0.07	0.49	-0.14	0.18	-0.09	-0.15	0.94	0.6	1.34	0.28	1.33	0.24	0.69	-0.1	0.32	-0.04	-0.12	0.5	0.21	-0.15		0.12	-0.45	-0.74	-0.36	-0.69	-0.18	0.57	-0.3	-0.34	-0.2	-0.2		0.31	0.01	0.46	0.21
YDL006W	PTC1   TRNA SPLICING       PROTEIN PHOSPHATASE	-0.32	0.33	-0.22	0.03	-0.34	0.26	-0.04	0.07	-0.23	0.26	0.19	0.1	-0.2	-0.03	-0.34	0.15	0.03	-0.03	0.57	-0.03	0.4	-0.86	0.12	0.03	0.11	-0.23	-0.18	-0.23		-0.15	-0.27	-0.15	-0.15	0.2	0.07	-0.03	-0.43	-0.47	-0.36	-0.03	0.34	0.04	-0.6	0.34	-0.25	-0.32	-0.25		0.24		0.76	0.82	0.37	-0.23	0.37	-0.25	0.46	1.4	-0.3	-0.3	-0.3	-0.92	-0.42	-0.06	0.37	0.03	-0.09	-0.14	-0.27	-0.17	-0.54	-0.06	-0.23	-0.43	0.14	0.11	-0.43	0.49	-0.45
YLR188W	MDL1   TRANSPORT        ATP-BINDING CASSETTE (ABC) FAMILY	-0.45	-0.34	-0.25	0.15	0.18	0.2	0.03	-0.36	0.04	0.31	0.03	0.24	0.03	-0.03	-0.04	0.1	-0.23	-0.3	-0.74	0.38	-0.18	-0.15	-0.06	0.07	0.14	0.55	0.26	0.23	0.04	0.07	0.14	0.15	-0.29	-0.2	0.08	-0.1	-0.45	-0.17	-0.38	-0.09	0.41	-0.42	-0.43	0.15	-0.43	-0.36	-0.38	-0.12	0.42	0.18	0.91	0.72	1.01	0.59	0.57	0.01	0.6	-0.25	-0.3	-0.81	-0.01	-0.29	-0.27	-0.69	-0.12	-0.54	0.11	-0.09	0.06	0.11	-0.79	-0.71	0.01	-0.18		-0.25	-0.43	-0.45	0.06
YDL226C	GCS1   SECRETION        VESICLE TRANSPORT; GAP FOR ARF	-0.43	-0.12	-0.12	0.19	0.01	0.23	-0.4	0.08	0.16	0.15	0.3	-0.04	0.01	-0.1	0.01	0.31	0.28	0.01	0.01	0.81	-0.14	0.44	0.15	0.52	0.42	0.57	-0.01	0.39	0.38	0.26	0.5	0.64	-0.56	-0.49	-0.32	-0.43	-0.18	-0.36	-0.22		-0.01	-0.23	-0.17	-0.34	-0.03	-0.22	-0.04	0.06	0.33	0.51	1.01	0.68	0.33	-0.06	0.32	0.1	0.86	0.85	-0.12	-0.47	-0.18	-0.45	-0.14	-0.03	0.51	-0.62	0.67	0.31	-0.4	-0.25	-0.92	-1.03	0.01	0.28	0.31	-0.15	-0.34	-0.03	-0.84
YHR026W	PPA1   VACUOLAR ACIDIFICATION   VACUOLAR H+-ATPASE PROTEOLIPID PROTEIN	-0.07	-0.34	-0.18	-0.03	-0.1	0.08		0.01	0.08	-0.3	0.03	-0.23	0.06	-0.23	-0.04	-0.18	-0.22	-0.23	0.04	0.07	0.12	0.14	-0.01	0.08	0.3	0.45	0.26	0.31	0.29	0.15	0.15	0.08	-0.56	-0.51	-0.38	0.16	0.16	0.1	0.07	0.19	0.25	0.06	0.33	-0.69	-0.07	-0.29	-0.06	0.08	0.98	0.32	0.23	0.38	0.38	0.36	0.06	-0.18	0.5	0.1	0.31	-0.22	-0.36	-0.54	-0.18	-0.06	0.34	-0.47	0.07	-0.34	0.14	0.07	-0.09	0.1	0.11	0.23	0.9	0.29	0.26	0.28	-0.4
YJL121C	RPE1   PENTOSE PHOSPHATE CYCLE  RIBULOSE-5-PHOSPHATE 3-EPIMERASE	0.16	-0.04	0.01	0.12	0.08	0.26	0.19	0.29	0.24	-0.17	0.15	-0.12	0.26	-0.06	0.16	0.11	-0.06	-0.14	-0.42	-0.17	0.41	0.77	0.55	0.43	0.52	0.39	0.2	0.29	0.16	0.26	-0.04	0.39	0.11	0.14	0.04	0.31	0.2	0.14		0.14	-0.07	-0.03	0.08	-0.12	-0.45	-0.58	-0.54		0.72	0.91	0.82	0.31	0.73	-0.04	-0.25	0.06	0.14	0.78	0.37	-0.3	-0.54	-0.42	0.34	0.59	-0.06	-1.12	-0.4	-0.43	0.25	0.04	-0.15	-0.2	0.19	0.3	0.88	-0.03	-0.03	0.16	-0.49
YML051W	GAL80  GALACTOSE REGULATION     TRANSCRIPTIONAL REPRESSOR		-0.17	-0.22	0.06	-0.1		0.08	-0.14	-0.1	-0.36	-0.56	-0.3	-0.12	-0.51	-0.17	-0.23	-0.2	-0.12	0.01	0.1	0.16	-0.1	-0.07	-0.06	0.11	0.08	-0.03		0.25	0.16	-0.03	0.24	0.03	-0.22	-0.01	0.31	0.56	0.15	0.32	0.36	0.1	0.11	0.16	-0.69	-0.06	-0.15	-0.03	0.06	0.3	0.08	0.8	0.34	0.94	-0.12	0.16	0.1	0.62	0.44	-0.17	-0.04	-0.38	-0.42	0.08	-0.12	-0.25	-0.74	0.03	-0.03	-0.36	-0.18	-0.54	-0.2	-0.25	0.41	0.54	-0.2	-0.38	0.39	-0.4
YDR405W	"MRP20  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN, MITOCHONDRIAL L23"	0.07	0.1	-0.04	-0.04	-0.25	-0.12	-0.03	0.04	0.39	-0.22	0.24	0.07	-0.03	-0.29	0.08	0.42	-0.36	-0.2	-0.03	-0.2	0.06	0.16	-0.07	0.01	0.26	0.14	0.18	0.14	0.08	0.33	0.21	0.06	0.19	0.23	-0.18	-0.09	-1.64	0.23	-0.01	0.49	1	-0.18	0.06	0.42	0.3	0.08	0.2	0.06	0.14	0.53	0.94	1.12	0.73	-0.38	0.39	0.03	-0.32	0.03		0.25	-0.09	0.26	-0.15	0.12	-0.07	-0.23	-0.06	-0.23		0.3	0.21	0.4	-0.2	-0.51	-0.04	-0.49	-0.51	0.44	0.38
YDL245C	HXT15  TRANSPORT        HEXOSE PERMEASE	-0.01	0.2	-0.03	0.14		-0.09	-0.14	0.18	0.59	-0.17	0.41	0.14	0.01	-0.32	0.31	0.23	-0.1	0.06	-0.1	0.15		0.03	-0.07	-0.01	0.11	0.16	0.24	-0.51	-0.17	0.12	0.2		-0.56	-0.34	-0.81	-0.67	-0.62	-0.36	-0.74	0.1	-0.29	-0.94	-1.12	0.32	-1.25	-0.51	-1.22	0.06	-0.14	0.16	0.38	0.53	0.89	-0.23	0.15	0.34	-0.01	0.34	-0.18	0.54	0.31	0.48	0.2	0.12	-0.34	-0.23	-0.34	-0.29	-0.32	0.59	0.81	0.52	-0.04	-0.2	0.3	0.01	-0.47	1.03	1.08
YEL013W	VAC8   VACUOLAR PROTEIN TARGETI VACUOLAR PROTEIN	-0.01	0.06		-0.04	-0.2	-0.23		-0.09	-0.23	0.08	-0.2	0.2	-0.12	-0.3	-0.09		0.15	-0.03	0.18	0.12	0.1	-0.23	-0.12	-0.1	-0.32	-0.04	-0.06	-0.04	0.12	-0.04	-0.81	-0.06	-0.18	-0.12	-0.54	-0.1	-1.36	-0.97	0.07	0.4	0.29	-0.89	-0.43	-0.03	-0.69	-0.3	-0.76	-0.09	0.15	-0.06	0.81	1.05	1.32	0.37	0.32	0.9	0.19	0.1	0.23	0.8	0.33	-0.49	0.07	-0.15	-0.1	-0.84	0.04	-0.07	-0.06	0.01	0.18	0.26	0.12	0.39	0.52	0.39	-0.01	0.08	
YKL157W	APE2   PROTEIN DEGRADATION    AMINOPEPTIDASE YSCII	0.25	0.04	0.33	0.33	0.07	0.12	-0.1	-0.12	0.12	-0.25	0.21	0.18	-0.06	-0.07	0.07	0.23	-0.42	-0.23	0.68	0.12	0.24	0.34	-0.32	-0.3	-0.43	-0.22	-0.04	-0.1	-0.17	0.34	-0.01	0.2	-0.51	0.38	-0.43	-0.58	-0.43	-0.56	-0.25	0.74		-0.62	-0.47	0.08	-1.18	-0.14	-1.06	-0.09	0.11	0.07	1.11	1.06	1.25	0.1	0.98	0.9	0.14	-0.17	-0.06	0.49	0.6	0.66	0.29	0.15	-0.51	-0.56	0.52	0.55	-0.17	-0.18	0.2	0.1	0.24	0.58	0.24	0.06	0.23	0.9	0.96
YGR256W	GND2   PENTOSE PHOSPHATE CYCLE  6-PHOSPHOGLUCONATE DEHYDROGENASE	0.06	-0.23	0.4	0.3	0.32	0.24	0.21	0.21	-0.03	-0.27	-0.06	-0.23	-0.01	-0.23	0.21	-0.29	0.18	-0.15	0.82	0.12	0.11	0.3	-0.17	-0.58	-0.4	-0.2	-0.14	-0.43	-0.62	-0.1	0.3	-0.09	-0.58	-1.06	-0.74	-0.32	-0.4	-0.25	-0.51	-0.34	-0.22	-0.42	-0.32	-0.25	-0.51	-0.58	-0.14	-0.04	0.24	0.41	0.25	0.56	1.28	-0.32	0.15	0.41	-0.06	-0.34	0.04	0.9	0.33	0.14	0.39	-0.03	0.04	-0.43	-0.03		0.08	0.03	-0.56	-0.38	0.23	0.16	0.34	-0.6	-0.07	1.74	1.43
YMR152W	NONE   PROTEIN PROCESSING    MITOCHONDRIAL INNER MEMBRANE PROTEASE	0.04	0.37	0.14	0.16	-0.4	-0.25	-0.1	-0.56	-0.17	-0.25	-0.18	-0.18	-0.03	-0.58	-0.36	-0.47	-0.49	-0.27	0.28	0.07	-0.2	-0.29	-0.81	-0.56	-0.42	-0.27	-0.1	0.06	-0.18	0.25	0.06	-0.06	-0.18	-0.34	-0.54	-0.47	-0.76	0.08	-0.34	0.04	0.24	-0.94	-0.62	0.01	-0.25	-0.2	0.25	-0.03	0.52	0.21	0.21	0.38	0.58	0.44	-0.22	0.33	0.01	0.14	0.12	0.72	0.98	0.18	0.08	0.14	-0.25	-0.14	0.16	0.14	-0.04	0.99		-0.2	0.06	0.44	0.46	-0.03	-0.25	0.97	0.48
YBR037C	SCO1   RESPIRATION      COX1P AND COX2P STABILITY (PUTATIVE)	-0.34	-0.45	-0.09	-0.34	-0.03	-0.29	0.1	-0.04	-0.06		-0.29	-0.3	-0.32	0.72	0.01	-0.01	-0.34	0.04	-0.07	-0.67	-0.42	-0.67	-0.4	-0.34	-0.1	-0.06	0.51	0.29	-0.58	0.53	0.34	0.03	-0.29		-0.3	-0.92	-0.92	0.25	-0.15	1.2	-0.51	-1.09	-0.32	0.37	-1.09	-0.14	-0.54	-0.1	0.11	0.56	1.47	1.07	0.59	-0.38	0.79	0.03	0.25	0.36	0.01	0.53	0.34	0.16	0.33	-0.23	-0.29	-0.3	-0.17	-0.79	0.29	0.25	-0.34	-0.09	-0.06	-0.1	0.52	0.03	0.2	0.69	0.55
